country,year,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,electricity_demand,electricity_demand_per_capita,fossil_fuel_consumption,fossil_electricity,fossil_share_energy,renewables_consumption,renewables_electricity,renewables_share_energy,low_carbon_electricity,low_carbon_share_energy,solar_electricity,wind_electricity,hydro_electricity
Austria,1990,7679627.0,207979127656.0,333.824,43468.785,1.605,48.81,6355.778,237.005,16.63,72.236,91.095,32.64,27.764,32.64,27.764,0.0,0.0,31.51
Austria,1991,7757140.0,215992683383.0,349.4,45042.395,1.618,50.93,6565.564,252.509,17.51,73.472,91.174,32.65,26.528,32.65,26.528,0.0,0.0,31.44
Austria,1992,7842715.0,221400873854.0,344.792,43963.363,1.557,50.44,6431.446,237.503,13.73,70.172,100.955,36.16,29.828,36.16,29.828,0.0,0.0,34.85
Austria,1993,7907492.0,223462931302.0,352.443,44570.805,1.577,50.58,6396.466,239.557,13.26,69.282,106.216,38.05,30.718,38.05,30.718,0.0,0.0,36.71
Austria,1994,7938157.0,229749328956.0,349.408,44016.273,1.521,51.13,6441.042,239.954,15.05,69.972,102.973,36.9,30.028,36.9,30.028,0.0,0.0,35.71
Austria,1995,7950322.0,236824462430.0,367.661,46244.852,1.552,52.58,6613.569,252.12,16.14,69.86,108.774,38.91,30.14,38.91,30.14,0.0,0.0,37.07
Austria,1996,7960917.0,243480734505.0,375.696,47192.613,1.543,54.4,6833.384,269.428,17.66,72.926,100.028,35.79,27.074,35.79,27.074,0.0,0.0,34.22
Austria,1997,7969804.0,249847313444.0,380.569,47751.309,1.523,54.82,6878.463,268.277,17.77,71.736,105.702,37.82,28.264,37.82,28.264,0.0,0.02,36.11
Austria,1998,7978465.0,259776337669.0,389.247,48787.238,1.498,55.66,6976.279,273.334,16.79,71.468,109.121,39.03,28.532,39.03,28.532,0.0,0.05,37.16
Austria,1999,7993894.0,270186173474.0,392.804,49137.969,1.454,57.82,7233.021,267.202,17.37,69.332,118.191,42.35,30.668,42.35,30.668,0.0,0.05,40.7
Austria,2000,8012929.0,280410163017.0,395.171,49316.637,1.409,58.27,7271.998,266.378,16.2,68.732,121.18,43.44,31.268,43.44,31.268,0.0,0.07,41.84
Austria,2001,8042233.0,285335695766.0,406.593,50557.285,1.425,61.2,7609.827,281.9,18.74,70.589,117.456,42.24,29.411,42.24,29.411,0.01,0.1,40.46
Austria,2002,8081640.0,291231427735.0,406.828,50339.801,1.397,61.33,7588.807,283.941,18.73,71.077,115.543,41.9,28.923,41.9,28.923,0.01,0.14,40.23
Austria,2003,8122604.0,294489280951.0,407.704,50193.703,1.384,63.58,7827.539,304.807,22.73,75.879,96.892,35.24,24.121,35.24,24.121,0.01,0.37,33.21
Austria,2004,8173496.0,303692479841.0,422.457,51686.262,1.391,64.93,7943.969,307.233,22.23,73.881,108.616,39.62,26.119,39.62,26.119,0.02,0.93,36.76
Austria,2005,8229204.0,311441138652.0,431.35,52416.992,1.385,66.99,8140.52,312.749,23.49,73.683,111.701,40.88,26.317,40.88,26.317,0.02,1.33,37.1
Austria,2006,8269901.0,323236897651.0,425.865,51495.746,1.318,68.55,8289.096,306.076,21.55,73.01,113.148,40.66,26.99,40.66,26.99,0.02,1.75,35.66
Austria,2007,8296948.0,336303973991.0,420.066,50628.93,1.249,68.85,8298.231,292.997,19.66,70.906,120.222,43.17,29.094,43.17,29.094,0.02,2.04,37.05
Austria,2008,8323250.0,342892519161.0,424.56,51008.945,1.238,69.24,8318.865,293.914,19.85,70.423,123.441,44.53,29.577,44.53,29.577,0.03,2.01,38.33
Austria,2009,8345073.0,331119036991.0,409.772,49103.516,1.238,66.99,8027.491,271.345,19.03,67.452,130.931,47.18,32.548,47.18,32.548,0.05,1.95,40.9
Austria,2010,8365087.0,338832243101.0,421.558,50394.973,1.244,70.26,8399.195,289.55,22.83,69.887,124.762,44.99,30.113,44.99,30.113,0.09,2.06,38.36
Austria,2011,8393272.0,349713455451.0,395.869,47165.023,1.132,70.4,8387.671,275.898,21.29,70.842,113.558,40.91,29.158,40.91,29.158,0.17,1.94,34.24
Austria,2012,8431599.0,352093108730.0,414.402,49148.723,1.177,71.45,8474.074,266.205,17.32,65.502,140.204,51.33,34.498,51.33,34.498,0.34,2.46,43.85
Austria,2013,8481411.0,352182904722.0,410.852,48441.508,1.167,71.82,8467.931,265.785,14.05,65.976,137.063,50.5,34.024,50.5,34.024,0.63,3.15,42.02
Austria,2014,8547812.0,354511819035.0,394.889,46197.699,1.114,70.82,8285.161,251.532,11.35,64.983,135.54,50.2,35.017,50.2,35.017,0.79,3.85,41.01
Austria,2015,8644037.0,358108266932.0,396.383,45856.262,1.107,71.84,8310.931,260.525,14.19,66.948,128.618,47.59,33.052,47.59,33.052,0.94,4.84,37.16
Austria,2016,8737920.0,365232738553.0,409.651,46881.992,1.122,72.03,8243.381,265.025,13.79,65.974,136.689,51.08,34.026,51.08,34.026,1.1,5.23,39.97
Austria,2017,8798779.0,373481694490.0,417.569,47457.57,1.118,73.64,8369.343,273.692,16.04,66.787,136.104,51.05,33.213,51.05,33.213,1.27,6.57,38.29
Austria,2018,8841653.0,382540042762.0,408.402,46190.699,1.068,73.62,8326.498,268.067,14.61,66.861,132.866,50.06,33.139,50.06,33.139,1.46,6.03,37.64
Austria,2019,8880876.0,388344674039.0,427.96,48188.984,1.102,73.82,8312.243,276.15,16.05,65.811,143.464,54.64,34.189,54.64,34.189,1.7,7.45,40.83
Austria,2020,8921402.0,363281092036.0,400.144,44852.156,1.101,71.24,7985.292,247.334,13.62,63.12,144.513,55.42,36.88,55.42,36.88,2.04,6.79,42.0
Austria,2021,8967053.0,379835198584.0,406.335,45314.195,1.07,74.22,8276.967,260.531,13.93,65.362,138.067,52.75,34.638,52.75,34.638,2.78,6.74,38.75
Austria,2022,9064678.0,398815419150.0,381.823,42122.105,0.957,73.19,8074.198,243.02,14.07,64.866,131.63,50.42,35.134,50.42,35.134,3.79,7.25,34.63
Austria,2023,9130434.0,398815419150.0,393.96,43148.035,0.957,71.21,7799.191,230.862,10.82,59.978,154.05,60.46,40.022,60.46,40.022,6.89,8.34,40.67
Austria,2024,9120815.0,398815419150.0,412.337,45208.309,0.957,71.99,7892.935,228.06,10.81,56.653,174.499,67.96,43.347,67.96,43.347,8.14,9.44,45.71
Belgium,1990,9960968.0,273278713941.0,621.353,62378.742,2.274,66.57,6683.085,498.421,27.01,80.555,1.64,0.56,0.265,43.28,19.445,0.0,0.01,0.27
Belgium,1991,9998962.0,278686606016.0,642.88,64294.656,2.307,69.34,6934.719,519.606,27.79,81.156,1.593,0.54,0.249,43.4,18.844,0.0,0.01,0.23
Belgium,1992,10045988.0,283358354426.0,641.509,63857.262,2.264,71.55,7122.247,516.315,27.34,80.822,1.807,0.62,0.283,44.08,19.178,0.0,0.01,0.34
Belgium,1993,10084932.0,281005275818.0,631.183,62586.73,2.246,72.31,7170.103,510.658,27.64,81.235,1.493,0.51,0.238,42.44,18.765,0.0,0.01,0.25
Belgium,1994,10116005.0,290433135887.0,663.908,65629.477,2.286,75.32,7445.627,546.805,30.11,82.674,1.752,0.61,0.265,41.23,17.326,0.0,0.01,0.35
Belgium,1995,10137264.0,297763645458.0,672.12,66301.898,2.257,77.59,7653.938,552.721,31.49,82.549,1.967,0.67,0.294,42.03,17.451,0.0,0.01,0.34
Belgium,1996,10156972.0,302924438524.0,713.881,70284.875,2.357,79.33,7810.399,589.182,31.24,82.84,1.667,0.56,0.234,43.9,17.16,0.0,0.01,0.24
Belgium,1997,10181465.0,314576090803.0,721.262,70840.68,2.293,81.15,7970.366,584.938,29.87,81.427,1.729,0.6,0.241,48.01,18.573,0.0,0.01,0.31
Belgium,1998,10203185.0,321240211745.0,735.386,72074.211,2.289,83.48,8181.759,602.064,35.16,82.189,2.233,0.76,0.305,46.93,17.811,0.0,0.01,0.39
Belgium,1999,10226681.0,333121577520.0,730.141,71395.695,2.192,84.22,8235.321,588.424,33.5,80.926,2.533,0.85,0.348,49.87,19.074,0.0,0.01,0.34
Belgium,2000,10251719.0,345706865981.0,743.348,72509.641,2.15,87.12,8498.087,603.482,33.58,81.513,3.097,1.05,0.418,49.21,18.487,0.0,0.02,0.46
Belgium,2001,10287005.0,349015220419.0,736.859,71630.055,2.111,87.74,8529.207,602.887,31.2,82.125,3.186,1.08,0.434,47.43,17.875,0.0,0.04,0.44
Belgium,2002,10332975.0,355705534550.0,733.474,70983.867,2.062,88.53,8567.717,597.305,32.44,81.772,3.396,1.14,0.465,48.5,18.228,0.0,0.06,0.36
Belgium,2003,10376262.0,358937085300.0,761.691,73407.07,2.122,89.98,8671.717,626.13,34.99,82.514,3.591,1.2,0.473,48.58,17.486,0.0,0.09,0.25
Belgium,2004,10421298.0,372499172102.0,764.62,73370.898,2.053,90.69,8702.371,629.156,34.1,82.582,4.487,1.5,0.589,48.81,17.418,0.0,0.14,0.32
Belgium,2005,10478883.0,380840056202.0,756.118,72156.344,1.985,90.68,8653.594,618.787,34.67,82.167,6.356,2.11,0.844,49.71,17.833,0.0,0.23,0.29
Belgium,2006,10548445.0,390874955040.0,758.241,71881.797,1.94,93.5,8863.865,621.709,33.73,82.31,8.897,2.96,1.178,49.61,17.69,0.0,0.37,0.36
Belgium,2007,10625488.0,404721960651.0,763.469,71852.602,1.886,93.59,8808.065,621.806,35.09,81.757,10.481,3.49,1.378,51.72,18.243,0.01,0.49,0.39
Belgium,2008,10709711.0,408290544814.0,775.734,72432.766,1.9,93.66,8745.334,639.172,33.07,82.721,13.276,4.42,1.718,49.99,17.279,0.04,0.64,0.41
Belgium,2009,10812936.0,399489943721.0,715.849,66203.031,1.792,87.92,8131.001,571.008,37.1,80.116,17.777,5.44,2.494,52.66,19.884,0.17,0.99,0.33
Belgium,2010,10936619.0,411261674695.0,764.788,69929.078,1.86,93.58,8556.575,612.624,38.53,80.474,23.793,6.56,3.125,54.5,19.526,0.58,1.29,0.31
Belgium,2011,11038624.0,420934235947.0,713.712,64655.848,1.696,91.81,8317.159,556.806,32.69,78.418,28.283,8.35,3.983,56.58,21.582,1.21,2.31,0.2
Belgium,2012,11107522.0,424045845634.0,684.939,61664.453,1.615,91.45,8233.159,543.644,30.71,79.766,34.053,10.51,4.996,50.8,20.234,2.15,2.76,0.36
Belgium,2013,11160277.0,425993254852.0,701.919,62894.422,1.648,91.59,8206.785,552.079,27.59,79.095,36.852,11.72,5.28,54.36,20.905,2.64,3.67,0.38
Belgium,2014,11210113.0,432717694183.0,650.851,58059.273,1.504,88.8,7921.419,523.214,25.29,80.816,38.442,12.21,5.938,45.91,19.184,2.89,4.62,0.29
Belgium,2015,11275332.0,441551470878.0,657.427,58306.633,1.489,89.43,7931.474,545.301,27.89,83.349,42.857,14.44,6.551,40.54,16.651,3.06,5.57,0.32
Belgium,2016,11332707.0,447144517813.0,709.509,62607.219,1.587,90.49,7984.853,551.702,26.54,78.229,44.179,14.25,6.264,57.77,21.771,3.1,5.42,0.37
Belgium,2017,11376583.0,454386396677.0,716.042,62940.031,1.576,91.36,8030.531,557.659,27.31,78.349,48.534,15.8,6.819,58.03,21.651,3.31,6.52,0.27
Belgium,2018,11428608.0,462533269863.0,714.205,62492.762,1.544,91.2,7979.974,587.782,28.11,82.726,51.595,17.16,7.262,45.76,17.274,3.9,7.57,0.29
Belgium,2019,11490623.0,472897988852.0,738.369,64258.418,1.561,90.84,7905.576,568.649,29.72,77.54,56.982,19.45,7.77,62.97,22.46,4.25,9.75,0.3
Belgium,2020,11540102.0,447544069854.0,663.906,57530.324,1.483,87.96,7622.116,505.008,30.41,76.64,68.902,23.45,10.457,57.88,23.36,5.11,12.81,0.27
Belgium,2021,11570843.0,474995824355.0,738.285,63805.598,1.554,91.52,7909.536,541.398,26.32,73.882,67.433,22.75,9.202,73.08,26.118,5.62,12.0,0.42
Belgium,2022,11641814.0,489678394377.0,694.453,59651.605,1.418,86.8,7455.883,509.489,26.02,73.922,71.928,24.43,10.436,68.31,26.078,6.88,12.35,0.27
Belgium,2023,11712891.0,489678394377.0,650.558,55542.023,1.418,83.79,7153.657,486.13,21.74,75.395,78.337,27.48,12.149,60.41,24.605,7.83,15.46,0.4
Belgium,2024,11738761.0,489678394377.0,644.116,54870.879,1.418,86.37,7357.676,489.87,17.98,76.64,73.214,26.8,11.454,58.05,23.36,8.56,14.08,0.55
Bulgaria,1990,8822366.0,79352520673.0,324.408,36771.109,4.088,45.69,5178.883,277.976,25.61,85.997,4.528,1.63,1.401,16.29,14.003,0.0,0.0,1.63
Bulgaria,1991,8695798.0,72983249507.0,262.598,30198.242,3.598,42.81,4923.067,218.482,25.24,83.58,6.3,2.27,2.41,15.45,16.42,0.0,0.0,2.27
Bulgaria,1992,8559091.0,67935669606.0,247.091,28868.836,3.637,38.15,4457.249,208.685,21.99,84.811,5.286,1.9,2.148,13.45,15.189,0.0,0.0,1.9
Bulgaria,1993,8466533.0,67190225135.0,263.601,31134.502,3.923,37.95,4482.354,218.669,22.08,83.319,4.964,1.79,1.891,15.76,16.681,0.0,0.0,1.79
Bulgaria,1994,8416924.0,68680754016.0,253.54,30122.635,3.692,37.91,4504.021,206.194,21.34,81.696,3.6,1.3,1.426,16.64,18.304,0.0,0.0,1.3
Bulgaria,1995,8357576.0,70965735433.0,272.66,32624.234,3.842,41.49,4964.358,217.253,22.22,80.096,6.039,2.17,2.226,19.43,19.904,0.0,0.0,2.17
Bulgaria,1996,8291402.0,65116237713.0,271.906,32793.77,4.176,42.23,5093.228,212.059,21.71,78.451,8.022,2.89,2.968,20.97,21.549,0.0,0.0,2.89
Bulgaria,1997,8217101.0,64936506648.0,257.145,31293.846,3.96,39.03,4749.85,198.721,22.11,77.748,7.567,2.72,2.96,20.47,22.252,0.0,0.0,2.72
Bulgaria,1998,8138193.0,67715867197.0,247.26,30382.707,3.651,37.77,4641.08,190.237,21.45,77.426,8.522,3.07,3.469,19.97,22.574,0.0,0.0,3.07
